Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Cup,Bra,Bust,Waist,Hip,Weight,Height
Gal Ritchie,Gal Richie,British,Caucasian,"May 3, 2001",2023,C,34C,86,66 cm,93 cm,56 kg,162 cm
Cherie Deville,Cherry DeVille,Unknown,Caucasian,"August 30, 1978",2011,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,162 cm
Haley Spades,Unknown,American,Caucasian,"September 23, 1998",2021,B,32B,81,60 cm,83 cm,43 kg,139 cm
Dee Williams,"Sharon Darling, The Grappler, Darling",American,Caucasian,"June 24, 1977",2004,DDD,34DDD,86,68 cm,91 cm,57 kg,162 cm
Kenzie Taylor,Unknown,Unknown,Caucasian,"July 2, 1990",2015,DDD,34DDD,86,66 cm,81 cm,54 kg,170 cm
Jane Wilde,"Mary Jane Wilde, Sophie Summers",American,Caucasian,"September 23, 1998",2017,B,32B,81,60 cm,86 cm,44 kg,152 cm
Anna Claire Clouds,Anna Clouds,American,Caucasian,"February 15, 1995",2018,C,32C,81,63 cm,91 cm,48 kg,154 cm
Alexis Fawx,"Amy Jean Snyder, Alexis Faux",American,Mixed,"June 23, 1975",2010,F,32F,81,58 cm,83 cm,54 kg,162 cm
Selina Imai,Unknown,American,Latin,"March 17, 2005",2023,C,30C,76,60 cm,86 cm,39 kg,149 cm
Lauren Phillips,Unknown,Unknown,Caucasian,"December 8, 1987",2013,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,177 cm
Kyler Quinn,Aubrey Dolan,American,Caucasian,"January 8, 1998",2018,B,34B,86,60 cm,71 cm,44 kg,165 cm
Karlee Grey,"Carly, Casey, Karlee Gray",American,Latin,"January 25, 1994",2014,DD,36DD,91,68 cm,91 cm,61 kg,167 cm
Little Puck,Eva Bae,American,Mixed,"December 18, 1988",2021,DDD,36DDD,91,73 cm,101 cm,65 kg,170 cm
Vanna Bardot,Unknown,American,Caucasian,"February 3, 1999",2018,B,32B,81,63 cm,86 cm,43 kg,160 cm
Hime Marie,Unknown,American,Latin,"August 23, 1995",2017,A,32A,81,68 cm,88 cm,44 kg,157 cm
Nikki Nicole,Unknown,American,Caucasian,"January 7, 2005",2024,A,30A,76,60 cm,86 cm,45 kg,160 cm
Juniper Ren,Unknown,American,Caucasian,"January 30, 2004",2022,A,32A,81,60 cm,81 cm,52 kg,157 cm
Lana Del Lust,Unknown,Unknown,Caucasian,"September 3, 1989",2020,E,38E,96,78 cm,106 cm,57 kg,167 cm
Cherry Kiss,"Charry Kiss, Cherry White, Ivana Jovanovic, Ivana Slavkovic, Chary Kiss",Serbian,Caucasian,"December 31, 1993",2010,B,34B,86,60 cm,88 cm,54 kg,172 cm
Lulu Chu,Unknown,Chinese,Asian,"January 14, 2001",2019,B,32B,81,60 cm,86 cm,41 kg,149 cm
Jennifer White,"Jen Allure, Carla Anne Friedman",American,Caucasian,"February 7, 1988",2009,C,34C,86,68 cm,91 cm,51 kg,157 cm
Kendra Sunderland,LibraryGirl,American,Caucasian,"June 16, 1995",2014,G,32G,81,63 cm,88 cm,56 kg,175 cm
Whitney Wright,Whitney FTV,American,Caucasian,"September 20, 1991",2016,B,32B,81,63 cm,91 cm,56 kg,160 cm
Candee Licious,"Sofia Sauerberg, Candee L, Candy, Candy Liscious, Candy Licious",Unknown,Caucasian,"March 4, 1995",2014,B,32B,81,55 cm,76 cm,44 kg,157 cm
Addison Vodka,Unknown,American,Caucasian,"May 14, 1999",2023,A,34A,86,66 cm,Unknown,56 kg,172 cm
Stella Cox,Unknown,Unknown,Caucasian,"December 21, 1990",2013,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,160 cm
Lia Lin,"Lia Lyen, Naomi Hill, Kim Rossii, Kim Rossi",Brazilian,Asian,"February 22, 2001",2021,Unknown,Unknown,Unknown,Unknown,Unknown,47 kg,172 cm
Angela White,"Angie, Angela Gabrielle White",Unknown,Caucasian,"March 4, 1985",2003,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,157 cm
Lena Paul,Lena Peach,American,Caucasian,"October 12, 1993",2015,DDD,34DDD,86,63 cm,91 cm,58 kg,162 cm
Remy Lacroix,"Remy La Croix, Remy LeCroix, Remi LaCroix, Remi La Croix",American,Caucasian,"June 26, 1988",2011,B,34B,86,60 cm,88 cm,48 kg,154 cm
Coco Lovelock,Unknown,American,Caucasian,"June 10, 1999",2019,B,32B,81,60 cm,86 cm,37 kg,144 cm
Naomi Swann,Princess Naomi Swann,American,Caucasian,"August 18, 1999",2018,C,32C,81,60 cm,86 cm,48 kg,160 cm
Kelsey Kane,Kacey Cane,American,Caucasian,"September 11, 2000",2023,B,34B,86,71 cm,101 cm,56 kg,172 cm
Melody Marks,Melody Hina Marks,American,Caucasian,"February 29, 2000",2018,D,32D,81,66 cm,86 cm,54 kg,157 cm
Anya Olsen,Unknown,American,Caucasian,"September 27, 1994",2015,B,34B,86,60 cm,86 cm,51 kg,162 cm
Lexi Luna,Lexi Lune,American,Caucasian,"March 14, 1989",2016,DDD,34DDD,86,68 cm,99 cm,61 kg,170 cm
Anissa Kate,Alissa Kate,French,Mixed,"May 7, 1987",2011,D,37D,93,60 cm,88 cm,49 kg,162 cm
Kristen Scott,"Sarah Lynn Hiltpold, FTV Kristen",American,Caucasian,"March 13, 1995",2014,A,32A,81,58 cm,81 cm,43 kg,154 cm
Alexis Tae,Alexia Tae,American,Black,"October 20, 1997",2019,A,32A,81,60 cm,81 cm,51 kg,165 cm
Kenna James,Keena James,Unknown,Caucasian,"January 16, 1995",2014,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,170 cm
Ryan Ryans,Ryan Maze,American,Caucasian,"March 8, 1990",2014,D,34D,86,60 cm,86 cm,54 kg,167 cm
Kathia Nobili,"Cathy Cambell, Kathy Campbel, Caty Campbell, Katia Campbell, Katy Cambel, Katia Nobili, Katty Campbell, Caty Combell",Unknown,Caucasian,"January 30, 1984",2007,Unknown,Unknown,Unknown,Unknown,Unknown,64 kg,162 cm
Adriana Chechik,"Dezarae Kristina Charles, Adrianna Chechick",American,Caucasian,"November 4, 1991",2013,C,32C,81,60 cm,91 cm,51 kg,157 cm
Valentina Nappi,Valentina Noon,Italian,Caucasian,"November 6, 1990",2012,C,34C,86,60 cm,91 cm,49 kg,160 cm
Riley Star,Riley Starr,American,Caucasian,"October 23, 1996",2017,A,36A,91,60 cm,81 cm,43 kg,157 cm
Jill Kassidy,Jill Cassidy,Unknown,Caucasian,"February 18, 1996",2016,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,167 cm
India Summer,"India Summers, Jody Jean Olson, Sabrina Stifferstem",American,Mixed,"April 26, 1975",2006,B,32B,81,60 cm,86 cm,55 kg,165 cm
Maxine X,Unknown,Unknown,Asian,"November 8, 1986",2005,DD,36DD,91,66 cm,91 cm,54 kg,154 cm
Samantha Rone,Sammy,Unknown,Caucasian,"May 5, 1994",2012,Unknown,Unknown,Unknown,Unknown,Unknown,53 kg,165 cm
Ana Foxxx,"Anna Fox, Anna Foxxx",American,Black,"October 29, 1988",2012,B,34B,86,66 cm,91 cm,58 kg,172 cm
Viola Weber,"Sophie Weber, Sofa Weber",Russian,Caucasian,"October 3, 1998",2021,B,13B,33,Unknown,Unknown,45 kg,152 cm
Ameena Green,Ameena Greene,American,Mixed,"March 5, 1998",2022,C,32C,81,60 cm,91 cm,56 kg,162 cm
Shrooms Q,Daisy Love,American,Caucasian,"December 23, 2004",2023,AA,28AA,71,55 cm,86 cm,44 kg,167 cm
Eliza Ibarra,Unknown,Unknown,Latin,"March 22, 1997",2018,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,172 cm
Eva Generosi,Unknown,Italian,Caucasian,"November 14, 2002",2023,Unknown,Unknown,Unknown,Unknown,Unknown,38 kg,154 cm
Alecia Fox,"Aljona, Arya, Lissa, Rita Mochalkina, Dolly, Alesia Fox",Russian,Caucasian,"January 12, 1998",2016,AA,32AA,81,63 cm,91 cm,53 kg,167 cm
Angie Faith,Angie Chatur,American,Caucasian,"February 10, 2000",2022,H,34H,86,66 cm,91 cm,62 kg,167 cm
Eve Sweet,Thalia Luz,Romanian,Caucasian,"April 8, 1995",2020,C,32C,81,60 cm,81 cm,54 kg,160 cm
Catalina Cruz,"Jenna Z, JennaZ",Unknown,Caucasian,"September 14, 1979",2000,Unknown,Unknown,Unknown,Unknown,Unknown,44 kg,157 cm
Lily Blossom,Unknown,Hungarian,Caucasian,"July 14, 2003",2023,Unknown,Unknown,Unknown,Unknown,Unknown,50 kg,160 cm
Melanie Hicks,Kaycee,American,Caucasian,"March 22, 1987",2012,D,34D,86,60 cm,91 cm,68 kg,157 cm
Josephine Jackson,"Josephine B, Jozephine Jackson, Julie Senyuk, Josephine J",Ukrainian,Caucasian,"February 1, 1995",2018,DD,34DD,86,63 cm,93 cm,59 kg,160 cm
Kiara Cole,Keira Cole,American,Caucasian,"April 19, 1999",2018,A,32A,81,55 cm,86 cm,38 kg,152 cm
Liz Jordan,Unknown,American,Caucasian,"December 6, 2001",2020,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,162 cm
Leana Lovings,Naughtynightlover,American,Caucasian,"July 20, 1999",2017,C,34C,86,63 cm,86 cm,44 kg,152 cm
Willow Ryder,"Kennedy Jayne Harrison, Maggie Ryder",American,Black,"June 24, 1999",2022,B,34B,86,60 cm,96 cm,58 kg,162 cm
Jade Maris,Unknown,American,Caucasian,"August 7, 2001",2023,B,32B,81,63 cm,86 cm,53 kg,162 cm
Tiffany Tatum,Enzio Ricci,Hungarian,Caucasian,"August 14, 1997",2017,A,34A,86,58 cm,86 cm,43 kg,162 cm
Eden Ivy,Unknown,Canadian,Caucasian,"June 3, 1999",2021,Unknown,Unknown,Unknown,Unknown,Unknown,54 kg,170 cm
Gabbie Carter,Unknown,American,Caucasian,"August 4, 2000",2019,DD,34DD,86,60 cm,86 cm,51 kg,167 cm
Gia Derza,Unknown,Unknown,Caucasian,"December 15, 1998",2018,Unknown,Unknown,Unknown,Unknown,Unknown,64 kg,162 cm
Gianna Dior,Emily Katherine Correro,American,Caucasian,"May 12, 1997",2018,D,32D,81,66 cm,83 cm,48 kg,160 cm
Angelika Grays,"Sabrina Delight, Angelika Greys",Ukrainian,Caucasian,"February 27, 1992",2018,A,32A,81,60 cm,86 cm,54 kg,172 cm
Lana Smalls,"cowgirlcummies cowgirlcummies, Lily Smalls",American,Caucasian,"December 29, 2000",2021,Unknown,Unknown,Unknown,Unknown,Unknown,45 kg,160 cm
Alex Coal,Unknown,American,Caucasian,"June 6, 1991",2015,C,34C,86,66 cm,96 cm,49 kg,160 cm
Madison Wilde,Unknown,American,Latin,"October 4, 2000",2022,B,32B,81,60 cm,88 cm,51 kg,157 cm
Lily Lou,Unknown,American,Caucasian,"September 8, 1997",2019,H,32H,81,63 cm,96 cm,54 kg,154 cm
Asteria Jade,"Astria Jade, Cassiopeia Adonis",American,Caucasian,"July 17, 1996",2024,DD,32DD,81,83 cm,96 cm,58 kg,172 cm
Ashley Alexander,Unknown,American,Caucasian,"August 26, 2005",2023,C,34C,86,Unknown,Unknown,54 kg,165 cm
Melanie Marie,Unknown,American,Caucasian,"July 6, 2004",2023,C,32C,81,60 cm,88 cm,53 kg,170 cm
Madi Collins,Unknown,American,Caucasian,"May 7, 1998",2020,A,34A,86,55 cm,86 cm,43 kg,147 cm
Chloe Amour,"Chloe Michele, Chloe Anwar",American,Latin,"May 30, 1991",2013,C,34C,86,66 cm,76 cm,52 kg,165 cm
Leya Desantis,"Bella Blue, Leya De Santis",Romanian,Caucasian,"August 18, 2002",2022,B,34B,86,60 cm,86 cm,53 kg,162 cm
Bella Nova,Unknown,American,Caucasian,"January 27, 2003",2024,B,34B,86,58 cm,71 cm,45 kg,170 cm
Della Cate,Unknown,American,Caucasian,"February 14, 2006",2024,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,165 cm
Jessica Ryan,Jess,Unknown,Caucasian,"September 3, 1986",2013,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,157 cm
River Lynn,Unknown,American,Caucasian,"May 3, 2001",2021,B,34B,86,68 cm,99 cm,58 kg,167 cm
Romi Rain,Nicole Lynn Torino,American,Caucasian,"January 12, 1988",2012,DDD,34DDD,86,60 cm,91 cm,54 kg,165 cm
Haley Reed,"Amy May, Jamie Rott, Amy Ii",American,Caucasian,"December 20, 1996",2016,B,32B,81,60 cm,88 cm,54 kg,177 cm
Brandi Love,Tracey Lynn Livermore,Unknown,Caucasian,"March 29, 1973",2006,Unknown,Unknown,Unknown,Unknown,Unknown,56 kg,167 cm
Lilly Bell,Lily Bell,American,Caucasian,"January 11, 1996",2019,C,32C,81,60 cm,86 cm,48 kg,154 cm
Rose Carter,Rose Caarter,American,Caucasian,"March 16, 1999",2022,B,34B,86,60 cm,88 cm,52 kg,157 cm
Lexi Lore,Lexy Lore,American,Caucasian,"October 30, 1998",2017,B,34B,86,60 cm,88 cm,44 kg,162 cm
Abigail Mac,"FTV Abigail, Abigail Mack",Unknown,Caucasian,"June 2, 1988",2012,Unknown,Unknown,Unknown,Unknown,Unknown,48 kg,154 cm
Whitney Oc,Jessica Jackson,American,Caucasian,"April 11, 1992",2023,B,34B,86,63 cm,91 cm,63 kg,162 cm
Sasha Tatcha,Unknown,American,Asian,"February 6, 2000",2023,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,160 cm
Carolina Sweets,Stephanie,American,Caucasian,"September 29, 1996",2016,B,32B,81,60 cm,86 cm,46 kg,154 cm
Aria Valencia,Ana Valencia,American,Caucasian,"August 28, 2003",2021,B,32B,81,55 cm,83 cm,43 kg,154 cm
Scarlet Skies,Unknown,American,Caucasian,"April 16, 1997",2020,A,32A,81,60 cm,86 cm,49 kg,162 cm
Freya Von Doom,Marsha,Unknown,Caucasian,"August 6, 1992",2016,A,32A,81,60 cm,81 cm,39 kg,144 cm
Savvy Suxx,"Savannah Johnson, Savanna Rose",American,Caucasian,"June 11, 1994",2023,C,34C,86,60 cm,96 cm,61 kg,180 cm
Kylie Rocket,Unknown,American,Caucasian,"April 11, 2001",2019,B,32B,81,60 cm,86 cm,44 kg,160 cm
Kira Noir,Devi,Unknown,Black,"July 16, 1994",2014,Unknown,Unknown,Unknown,Unknown,Unknown,59 kg,167 cm
Kat Marie,Goddess Kat Marie,American,Caucasian,"June 27, 1983",2018,F,36F,91,60 cm,86 cm,63 kg,170 cm
Reagan Foxx,Kerrington Cruz,Unknown,Caucasian,"December 31, 1976",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,64 kg,172 cm
Emma Hix,"Eryn Andrew, Crissy Kay, Jillene Catherine Bobyn, Emma Hicks",Canadian,Caucasian,"October 25, 1997",2015,DD,32DD,81,63 cm,81 cm,49 kg,162 cm
Danielle Renae,Unknown,American,Caucasian,"March 19, 1988",2019,E,32E,81,55 cm,86 cm,54 kg,154 cm
Dylan Moore,Unknown,Canadian,Caucasian,"October 9, 1999",2024,Unknown,Unknown,Unknown,Unknown,Unknown,58 kg,172 cm
Charlotte Sartre,GothCharlotte,Unknown,Caucasian,"December 6, 1994",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46 kg,157 cm
Nicole Doshi,Nicole the Foreigner,"Chinese, American",Asian,"May 12, 1995",2019,D,32D,81,60 cm,81 cm,51 kg,157 cm
Serena Hill,Unknown,American,Caucasian,"July 3, 1999",2022,Unknown,Unknown,Unknown,Unknown,Unknown,44 kg,160 cm
Uma Jolie,"Madeline Clarck, Belicia FTV, Belicia Segura",American,Caucasian,"April 8, 1995",2014,B,32B,81,58 cm,86 cm,48 kg,157 cm
Aaliyah Love,"Molly Star, Tamara, Princess Molly Star",American,Caucasian,"June 11, 1981",2006,A,33A,83,63 cm,86 cm,48 kg,154 cm
Elsa Jean,"Molly, Elsa Dream, Elsa Dream Jean",American,Caucasian,"September 1, 1996",2015,C,32C,81,60 cm,71 cm,44 kg,160 cm
Melissa Stratton,Kitty Baby,American,Caucasian,"September 14, 1989",2020,D,34D,86,63 cm,91 cm,54 kg,162 cm
Chloe Temple,"Senorita Satan, Clara Fargo, Sharon Purcell",American,Caucasian,"February 6, 1998",2018,B,32B,81,60 cm,88 cm,44 kg,157 cm
Riley Reid,"Paige Riley, Riley Reed, Molly",American,Caucasian,"July 9, 1991",2010,A,32A,81,58 cm,86 cm,48 kg,160 cm
Olivia Jay,Olivia Jayy,Unknown,Black,"December 27, 1989",2020,B,32B,81,60 cm,86 cm,56 kg,167 cm
Katie Kush,Bianca Dale,American,Caucasian,"April 21, 1997",2018,B,34B,86,66 cm,86 cm,54 kg,157 cm
Millie Morgan,Unknown,Unknown,Caucasian,"August 29, 1992",2021,A,32A,81,66 cm,91 cm,Unknown,160 cm
Becky Summer,Becky Summers,Unknown,Caucasian,2006,Unknown,C,32C,81,Unknown,Unknown,Unknown,151 cm
Sadie Summers,"Tiny Tobi, Toby Pacific, Tobi Pacific, Tiny Toby",Canadian,Caucasian,"August 31, 1986",2005,B,34B,86,60 cm,86 cm,49 kg,154 cm
Bella Rolland,Unknown,American,Caucasian,"July 11, 1994",2019,C,36C,91,71 cm,96 cm,58 kg,182 cm
Diamond Foxxx,"Diamond Fox, Diamond Foxx",Unknown,Caucasian,"January 5, 1973",2004,Unknown,Unknown,Unknown,Unknown,Unknown,46 kg,160 cm
Charlotte Sins,Unknown,American,Caucasian,"August 5, 1996",2019,B,34B,86,66 cm,91 cm,58 kg,172 cm
Tori Black,"Shellie Chapman, Michelle Chapman, Victoria Black, Tory Black",American,Mixed,"August 26, 1988",2006,B,34B,86,68 cm,93 cm,54 kg,172 cm
Violet Myers,"Luna Bunny, Thick Violet Violence, Violet Bunny",American,Mixed,"February 24, 1997",2018,F,34F,86,71 cm,109 cm,67 kg,160 cm
Jewelz Blu,Jewelz Bly,"American, German",Caucasian,"September 21, 1994",2019,D,32D,81,60 cm,86 cm,49 kg,167 cm
Molly Cute,Unknown,Unknown,Caucasian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,157 cm
Annie King,Unknown,American,Caucasian,"November 4, 1987",2023,DD,34DD,86,71 cm,96 cm,60 kg,175 cm
Casey Calvert,Unknown,Unknown,Caucasian,"March 17, 1990",2011,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,157 cm
Delilah Dagger,Unknown,American,Caucasian,"July 24, 2000",2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,152 cm
Lacy Lennon,"Lacey Lennon, Lacey Lenon",American,Caucasian,"January 23, 1997",2018,C,32C,81,60 cm,88 cm,51 kg,162 cm
Gina Valentina,"Victoria Celeste Carvalho, Gina Valentine",Brazilian,Latin,"February 18, 1997",2015,D,36D,91,60 cm,88 cm,48 kg,154 cm
Stella Luxx,Unknown,American,Caucasian,"August 8, 2002",2023,B,13B,33,30 cm,38 cm,Unknown,172 cm
Gigi Sweets,Unknown,American,Caucasian,"March 18, 2000",2024,F,34F,86,71 cm,86 cm,57 kg,160 cm
Rory Knox,Unknown,Unknown,Caucasian,"January 12, 1995",2021,Unknown,Unknown,86,66 cm,Unknown,51 kg,157 cm
Ember Snow,Unknown,Unknown,Asian,"February 27, 1996",2017,Unknown,Unknown,Unknown,Unknown,Unknown,41 kg,149 cm
Megan Rain,Kiana Coleman,American,Caucasian,"June 13, 1996",2014,D,32D,81,68 cm,88 cm,43 kg,157 cm
Britney Amber,"Brittney Amber, Amber Rizzo, Brittany Angel, Brittany Amber",American,Caucasian,"November 10, 1986",2008,D,36D,91,60 cm,86 cm,51 kg,162 cm
Cami Strella,Unknown,American,Latin,"October 30, 1993",2023,F,32F,81,Unknown,Unknown,58 kg,154 cm
Skylar Snow,Unknown,American,Caucasian,"May 30, 1994",2017,E,34E,86,60 cm,91 cm,65 kg,165 cm
Mia Malkova,"Madison Swan, Madison Clover, Mia Bliss, Jessica, Mia Mountain",American,Caucasian,"July 1, 1992",2012,DD,34DD,86,66 cm,91 cm,54 kg,170 cm
Alina Lopez,"Aline Lopez, Aleena Lopez",American,Mixed,"September 6, 1995",2017,C,32C,81,60 cm,83 cm,53 kg,167 cm
Katie Morgan,"Katie Megan, Kate Morgan, Sarah Carradine",American,Caucasian,"March 17, 1980",2001,D,34D,86,60 cm,86 cm,48 kg,162 cm
Xxlayna Marie,Unknown,American,Latin,"March 6, 2000",2020,B,28B,71,60 cm,76 cm,44 kg,149 cm
Francesca Le,"Francesca L̩, Erika Estrada, Franchesca Le, Francesca Le', Erica Estrada, Francesca Lei, Francesca Leigh, Franceska Le, Franchesca Leigh, Francesca Lee, Francessca Le'",Unknown,Latin,"December 28, 1971",1992,D,34D,86,68 cm,91 cm,51 kg,154 cm
Sweet Sophia,Unknown,American,Caucasian,"September 8, 1994",Unknown,B,32B,81,Unknown,Unknown,45 kg,154 cm
Sera Ryder,Unknown,American,Caucasian,"January 4, 2001",2020,C,32C,81,58 cm,66 cm,43 kg,154 cm
Camilla Cream,Camila Cream,American,Unknown,2003,2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,167 cm
Serena Sterling,Unknown,American,Caucasian,"January 21, 2006",2024,C,13C,33,25 cm,33 cm,58 kg,160 cm
Sarah Vandella,"Sara Sloan, Sarah Sloane, Sarah Vandela, Sara Sloane, Sara Vandella, Sara Vandela",American,Caucasian,"December 2, 1983",2007,D,34D,86,60 cm,91 cm,56 kg,160 cm
Nicole Aniston,Ashley Nicole,Unknown,Caucasian,"September 9, 1987",2010,Unknown,Unknown,Unknown,Unknown,Unknown,59 kg,157 cm
Sage Hunter,Unknown,American,Caucasian,"November 7, 1996",2023,Unknown,Unknown,Unknown,Unknown,Unknown,49 kg,162 cm
Liz Ocean,Anna Devito,Hungarian,Caucasian,"September 4, 2004",2023,A,34A,86,60 cm,88 cm,56 kg,162 cm
Megan Marx,Unknown,American,Caucasian,"June 5, 2000",2018,A,32A,81,71 cm,81 cm,51 kg,157 cm
Siri Dahl,"Siri Pornstar, Siri",Unknown,Caucasian,"June 20, 1988",2012,Unknown,Unknown,Unknown,Unknown,Unknown,67 kg,175 cm
Skye Blue,Unknown,American,Caucasian,"June 28, 1996",2018,DDD,32DDD,81,66 cm,86 cm,49 kg,172 cm
Natalia Starr,"Natalie Star, Katarzyna Tyszka, Tiffany Polanski",Polish,Caucasian,"March 22, 1993",2012,D,34D,86,66 cm,86 cm,54 kg,167 cm
Ivy Ireland,Unknown,American,Caucasian,"January 1, 1996",2023,B,34B,86,71 cm,101 cm,Unknown,170 cm
Amber Alena,Unknown,Unknown,Caucasian,"October 15, 1995",2016,J,36J,91,63 cm,101 cm,54 kg,165 cm
Amber Summer,Unknown,American,Latin,"November 16, 2003",2022,A,32A,81,60 cm,81 cm,Unknown,144 cm
Katie St Ives,"Katie St. Ives, Katie Stives, Lilith Rose",Unknown,Caucasian,"December 19, 1988",2009,C,34C,86,63 cm,86 cm,53 kg,154 cm
Ariella Ferrera,Elle Ferrera,Colombian,Latin,"January 15, 1979",2009,Unknown,Unknown,Unknown,Unknown,Unknown,51 kg,167 cm
Nikki Benz,"Niki Benz, Nikke Benz, Nikky Benz, Nikkie Benz","Canadian, Ukrainian, American",Caucasian,"December 11, 1981",2002,DD,34DD,86,60 cm,91 cm,49 kg,162 cm
Bunny Madison,Bunny C,American,Caucasian,"January 11, 1991",2021,DD,34DD,86,66 cm,88 cm,56 kg,162 cm
Savannah Bond,Kelli Anne Oxley,Australian,Caucasian,"June 6, 1990",2019,G,34G,86,66 cm,101 cm,59 kg,162 cm
Charlie Forde,Unknown,Australian,Caucasian,"April 3, 1989",2019,B,34B,86,66 cm,91 cm,Unknown,167 cm
Lily Starfire,Unknown,American,Black,"August 9, 2001",2022,F,36F,91,68 cm,91 cm,58 kg,149 cm
Honey Blossom,Unknown,Unknown,Caucasian,"December 23, 1988",2019,DD,32DD,81,71 cm,81 cm,51 kg,152 cm
Zlata Shine,Unknown,Russian,Caucasian,"February 23, 1993",2021,Unknown,Unknown,Unknown,Unknown,Unknown,62 kg,172 cm
Hazel Heart,Unknown,American,Latin,"January 1, 2002",2020,B,34B,86,66 cm,83 cm,49 kg,162 cm
Cassie Del Isla,Cassia Del Isla,French,Mixed,"April 27, 1991",2016,D,34D,86,60 cm,86 cm,54 kg,167 cm
