Name,Aliases,Nationality,Ethnicity,Date of Birth,Career start,Weight,Height
Ricky Johnson,Quentin,American,Black,"January 29, 1992",2015,81 kg,182 cm
Donny Sins,Donnie Sins,American,Black,"July 18, 1984",Unknown,69 kg,177 cm
Mike Ox,"Magic Mike, Mike Oxsmall",Dominican,Latin,"October 20, 1998",2024,86 kg,177 cm
Small Hands,Unknown,Unknown,Latin,"June 25, 1982",2013,79 kg,175 cm
Diego Perez,Unknown,Mexican,Latin,"January 26, 2003",2021,61 kg,Unknown
Robby Apples,"Robby Echo, Mr. Kitty",Unknown,Caucasian,"June 12, 1986",2014,79 kg,175 cm
Freddy Gong,Unknown,Ghanaian,Black,"July 7, 1990",Unknown,Unknown,165 cm
Sam Bourne,"Sam Borne, Adam C",Unknown,Caucasian,"June 1, 1994",Unknown,Unknown,Unknown
Alex Jett,"Matt Bailey, Matthew Bailey, John Swift",American,Caucasian,"June 10, 1990",2011,52 kg,167 cm
Brickzilla,"BK Brick, Brick Trismigistus",American,Black,"May 30, 1971",Unknown,73 kg,167 cm
Clarke Kent,"Matt, Seb Cam, Clark Kent",French,Caucasian,"September 19, 1981",2002,79 kg,182 cm
Tommy Pistol,Unknown,American,Caucasian,"July 2, 1976",2005,68 kg,170 cm
Johnny Sins,Damian,American,Caucasian,"December 31, 1979",2006,79 kg,182 cm
Keiran Lee,Unknown,Unknown,Caucasian,"January 15, 1983",2005,81 kg,182 cm
Jesus Reyes,"Jesus Reyes Vazquez, Negro del Whatsapp, Jesus Reyez",Cuban,Black,"February 2, 1991",Unknown,79 kg,180 cm
Anton Harden,"Migo, Migodingo",American,Black,"July 8, 1995",2014,68 kg,170 cm
Alex Legend,Unknown,French,Caucasian,"May 29, 1983",2014,91 kg,185 cm
Sir Goldey,Unknown,Unknown,Black,Unknown,2023,Unknown,Unknown
Bruce Venture,Bruce Ventura,"Portuguese, Dutch, Irish, American",Caucasian,"November 13, 1985",2010,83 kg,187 cm
Rocket Powers,Unknown,American,Black,"September 27, 1996",Unknown,84 kg,187 cm
Darrell Deeps,Darrel Deeps,Dutch,Black,"March 26, 1982",Unknown,Unknown,Unknown
Nicky Rebel,Ricky Evers,American,Caucasian,"June 13, 1988",2016,65 kg,172 cm
Bryan Gozzling,Unknown,American,Caucasian,Unknown,Unknown,Unknown,Unknown
Marco Banderas,"Michael Duarte, Marco Duato, Marco Duarte",Unknown,Unknown,"February 13, 1967",Unknown,Unknown,Unknown
Draven Navarro,Unknown,"Italian, Mexican, American",Unknown,"June 18, 1983",Unknown,Unknown,Unknown
Tommy Gunn,Thomas Gunn,American,Caucasian,"May 13, 1967",2004,83 kg,172 cm
Juan Lucho,"Juan Luche, Juan Jucco, Juan Lucco, Juan Locho",Spanish,Caucasian,"July 8, 1988",2013,69 kg,177 cm
Dwayne Foxxx,Unknown,American,Black,"December 5, 1992",2021,77 kg,187 cm
Milan Ponjevic,"milan, Lanmi Miami, ulan",Serbian,Caucasian,"January 4, 1994",2017,74 kg,182 cm
Rusty Nails,Chas Carter,American,Caucasian,"July 24, 1972",2005,68 kg,172 cm
Lorenzo Viota,Lorenzo Viotta,French,Unknown,"June 15, 1983",Unknown,Unknown,Unknown
Liam Salvatore,Unknown,Czech,Caucasian,Unknown,2023,Unknown,Unknown
Oliver Davis,"Llewyn Davis, Oli Davis",American,Black,"November 24, 1994",2015,72 kg,175 cm
Peter Green,Unknown,American,Latin,"September 5, 1993",Unknown,79 kg,170 cm
Dimitri Shadow,Shadow Dimitri,British,Black,"September 26, 1981",Unknown,Unknown,Unknown
Scott Nails,"Scott Skools, Scott Mills, Cock Boy",American,Caucasian,"April 29, 1982",2000,77 kg,182 cm
Apollo Banks,Unknown,American,Caucasian,"June 16, 1999",2021,66 kg,177 cm
Jimmy Bud,Unknown,Spanish,Caucasian,"January 27, 2000",Unknown,Unknown,Unknown
Eddie Jaye,"Eddie Jay, Eddie J",American,Black,"September 2, 1985",2007,78 kg,172 cm
Brian Omally,Brian O'Mally,American,Caucasian,"December 22, 1989",Unknown,77 kg,185 cm
Tony Marzo,Unknown,Unknown,Caucasian,"March 29, 1985",2025,72 kg,Unknown
Derek Savage,Unknown,Unknown,Black,"August 16, 1996",2020,79 kg,185 cm
Adonis Breeds,Unknown,American,Unknown,"February 5, 1996",2023,86 kg,Unknown
Codey Steele,Unknown,Unknown,Unknown,"October 26, 1988",Unknown,Unknown,Unknown
Renato,"Mark Barbins or Federique Button or Nick Chines, Renato Rush, Herry Palmer, Marc Lobste, Emil Moldovan, Pierre or Thomas or uncredited, Jassen or Riccardo, Renato Douglas, Marc Hens or Alez Belli or Cristoph, Reno, Rick Renato, Paolo il Brigante, Degey or uncredited, Leonardo, Ranato, Trainee",Hungarian,Caucasian,"August 23, 1974",1998,Unknown,177 cm
Mad Bundy,"Mat Bundy, Max, Damien, Mark Dozer, Michael, Larry, Tom",Czech,Caucasian,"October 2, 1988",Unknown,Unknown,Unknown
Kaby Snow,Unknown,American,Black,"March 2, 1994",2024,82 kg,193 cm
Pierce Paris,"Pierce, Brother Hales, Leo Winston, Pierce Hartman",American,Caucasian,"August 19, 1985",2014,88 kg,187 cm
Brady Bud,Unknown,Spanish,Caucasian,Unknown,Unknown,Unknown,Unknown
Richard Glaze,Unknown,American,Caucasian,"January 9, 1986",2023,99 kg,187 cm
Mazee The Goat,Unknown,American,Black,"February 26, 1992",2019,78 kg,175 cm
Mickey Taylor,Unknown,British,Caucasian,"January 15, 1993",Unknown,Unknown,182 cm
J. Crew,"Jay Crew, Jake Jacobs, Jay Cobb, Jason Crew, Jake Crew",American,Caucasian,"June 2, 1957",Unknown,79 kg,170 cm
Boswell Black,"Neji B, Mr Pulloutskeet",American,Black,Unknown,2021,Unknown,Unknown
James Deen,Unknown,Unknown,Caucasian,"February 7, 1986",2004,63 kg,170 cm
Billy Boston,Unknown,American,Caucasian,February 27,Unknown,77 kg,182 cm
Michael Delray,"Ben Knox, Elder Ence, Michael Del Ray",American,Caucasian,"November 5, 1994",2014,68 kg,185 cm
Joachim Kessef,"Gustave Bogassà, Joachim Keseff, Joachim Lawson, Joachin Kessef, Joackim Kessev, Joackim Lawson, Joahim Kessef",Unknown,Black,"March 12, 1976",Unknown,Unknown,Unknown
Chris Diamond,Chris Diamondx,Spanish,Caucasian,"March 5, 1991",Unknown,Unknown,Unknown
Jonathan Jordan,Unknown,American,Black,Unknown,Unknown,Unknown,Unknown
Jaxson Briggs,Jaxon,American,Black,Unknown,Unknown,92 kg,180 cm
Josh Rivers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Peter Fitzwell,Unknown,American,Caucasian,Unknown,2020,Unknown,Unknown
John Strong,"Yury, Yuri, Jon Strong",American,Caucasian,"April 9, 1969",1998,83 kg,172 cm
Romeo Mancini,Unknown,Unknown,Caucasian,February 8,2013,92 kg,187 cm
Lucky Fate,Lucky Fae,American,Caucasian,"October 1, 1991",2020,69 kg,177 cm
Tony Sting,"Tony, Raiin",Russian,Caucasian,"November 25, 1996",2018,79 kg,177 cm
Victor Ray,Unknown,American,Caucasian,"July 29, 2001",2021,Unknown,Unknown
Rocco Siffredi,Unknown,Unknown,Caucasian,"May 4, 1964",1986,Unknown,190 cm
Coal Daniels,The Real Cowboy Daddy,American,Unknown,Unknown,Unknown,Unknown,Unknown
Dredd,Dred,American,Black,"September 18, 1971",Unknown,Unknown,195 cm
Zac Drogba,"Jody Nikolas, Tomas Fuk, Daniel, Deny Lou, Thomas Fuk",Czech,Caucasian,"February 14, 1994",Unknown,Unknown,Unknown
Ian Scott,"Yannick Dure, Yannick Simon, Yanick Kangoo, Gerard D'Mattant, Yannick Shaft, Yannick Noah, Yann Legall, Ian Stone, Jan Scoot, Yann Claus, Ian Scot",Unknown,Caucasian,"February 6, 1973",Unknown,74 kg,185 cm
Elias Cash,Elias Kash,Brazilian,Latin,Unknown,2021,70 kg,175 cm
Johnny Goodluck,Unknown,American,Caucasian,"February 4, 1987",Unknown,83 kg,182 cm
Raul Costa,Raoul Costa,Italian,Caucasian,"June 10, 1989",Unknown,Unknown,172 cm
Nick Strokes,Unknown,American,Caucasian,Unknown,2022,72 kg,177 cm
Tony Rubino,Unknown,Unknown,Caucasian,Unknown,Unknown,81 kg,162 cm
Alex Charger,"Alex Spitter, Max Charger",American,Caucasian,Unknown,2023,Unknown,Unknown
Nick Ross,"Blake, Nick Gill, Harry, Eduard, Jack (x-art.com), Nathan, Nick R., Luke Hanson, Leo Stiller, Edward, Edvard, Edward Ross, Mark Franks, Eduardo, Aaron",Czech,Caucasian,"April 17, 1990",2010,74 kg,182 cm
Gemini Jay,"Kellen Jay, Kellen Rogers",American,Asian,"June 5, 1996",2025,51 kg,Unknown
Jamie Knoxx,Unknown,American,Black,"July 14, 1978",2006,82 kg,175 cm
Juan Largo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ryan Mclane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jason Cody,Cody Jason,American,Mixed,Unknown,2024,Unknown,Unknown
Karlo Karrera,"Karlos Carrera, Carlo Carrera, Kazlo Carrera, Carlos Rios, Karlo Carrera, Rios",Unknown,Latin,"November 22, 1977",Unknown,99 kg,195 cm
Jack Vegas,Unknown,American,Caucasian,Unknown,2006,78 kg,175 cm
Jon Jon,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tommy Cabrio,Unknown,Spanish,Caucasian,"October 3, 1999",2019,Unknown,Unknown
Giovanni,"Papi Tarzan, GianCarlo Cavallero",Unknown,Caucasian,"August 3, 1999",2024,81 kg,Unknown
Alberto Blanco,Killian Kenzzo,Unknown,Caucasian,"February 23, 1989",Unknown,Unknown,Unknown
Big Dick Nick,Debauchery Desired,American,Caucasian,"December 27, 1983",2024,61 kg,175 cm
Angelo Godshack,"Paolo Verdi, Angelo Guardi, Ennio Guardi, Angelo Guardini, Pavel, Rudi, Woody Pepino, Angelo Danda, Emilio Guardi, Perry, Joe, Paulie, Lloyd Kenda, Leo Cooper",Unknown,Caucasian,"February 26, 1988",Unknown,81 kg,180 cm
Steve Holmes,"Steve Home, Chris Christof, Chris Long, Christian Christoff, Chris Delon, Cristian Metz, Steve Adams, Kai-Uwe Bergmann",German,Caucasian,"March 23, 1961",1996,74 kg,185 cm
Jules Jordan,"Chaz Masters, Master Blaster",American,Caucasian,"May 25, 1972",Unknown,63 kg,170 cm
Brad Knight,Unknown,Unknown,Unknown,"December 29, 1988",Unknown,Unknown,Unknown
Alex Mack,Unknown,Russian,Caucasian,Unknown,Unknown,77 kg,180 cm
Jordi El Nino Polla,Jordi ENP,Unknown,Unknown,"September 11, 1994",Unknown,53 kg,167 cm
Thomas Stone,Unknown,Hungarian,Caucasian,"July 11, 1978",Unknown,Unknown,Unknown
George Uhl,Unknown,Unknown,Caucasian,"November 30, 1970",Unknown,Unknown,Unknown
Chris Lockwood,"Caden Matthews, Christian Claps, Caden Barlowe",American,Caucasian,Unknown,Unknown,Unknown,Unknown
Anthony Pierce,Unknown,Unknown,Unknown,"February 4, 2000",2020,72 kg,170 cm
Steve Q,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rob Piper,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Michael Fly,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alex Romero,Unknown,French,Caucasian,"June 24, 2000",Unknown,Unknown,Unknown
Rodrigo Amor,Unknown,Cuban,Mixed,"May 2, 1989",2019,74 kg,Unknown
Jason Sarcinelli,Unknown,Unknown,Caucasian,"September 23, 1978",2024,97 kg,Unknown
Lawson Jones,Larson Jones,American,Black,Unknown,2020,165 kg,190 cm
Johnny Castle,"Antonio, Johnny, Danny Castle",American,Caucasian,"January 31, 1980",2005,84 kg,180 cm
Charles Neptune,"Sir Neptune, Neptune",American,Black,"May 20, 1998",Unknown,87 kg,182 cm
David Perry,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Christian Xxx,"ChristianXXX, Christian N, Christian X, Maxx Diesel",American,Caucasian,"May 8, 1974",Unknown,99 kg,195 cm
Zane Walker,Unknown,American,Unknown,"September 19, 1997",2021,83 kg,185 cm
Chad Alva,Vin Vericose,Unknown,Unknown,"January 11, 1985",Unknown,Unknown,Unknown
Yeri Blue,Unknown,Spanish,Latin,Unknown,Unknown,Unknown,Unknown
Dean Van Damme,Van Damme,British,Caucasian,"December 11, 1978",2010,77 kg,177 cm
Dillon Diaz,Dillion Diaz,American,Black,"May 16, 1977",Unknown,77 kg,175 cm
Yves Morgan,"Bob Karcher, Black Karchair",Belgian,Black,"December 21, 1984",Unknown,Unknown,Unknown
Hatler Gurius,"InkFit, Jesse Bently",American,Caucasian,"February 10, 1994",Unknown,Unknown,Unknown
Claus Noord,"Max, Hannes Löffel, Gerd, Tony Immer, Klaus Nord, Bernd",Unknown,Caucasian,"June 26, 1961",1989,92 kg,180 cm
Filthy Rich,Mr. Filthy Rich,American,Caucasian,"February 16, 1965",2011,73 kg,180 cm
Lil D,Unknown,American,Black,"August 6, 1999",2018,66 kg,175 cm
Celtic Iron,"Bradley King, Jonnhay Deep, Bradley Brennan, Stephen",Irish,Caucasian,"November 6, 1985",Unknown,82 kg,177 cm
Connor Flynn,Unknown,Spanish,Caucasian,Unknown,2023,Unknown,Unknown
Dan Ferrari,"Indiana Bones, Indian Bones",American,Caucasian,"April 13, 1984",Unknown,73 kg,170 cm
Thomas Lee,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ace Bigs,Ace Biggs,American,Black,"September 13, 1996",2023,85 kg,182 cm
Nick Moreno,Nik Moreno,Unknown,Caucasian,"August 5, 1983",Unknown,Unknown,Unknown
Ace Hardz,"Ace Hard, Ace Hards",Unknown,Black,"February 3, 1994",2019,72 kg,177 cm
Jake Waters,Unknown,American,Black,"March 27, 1981",Unknown,63 kg,165 cm
Jack Blaque,Unknown,American,Black,Unknown,2011,74 kg,170 cm
Max Born,"Brian Ragnastone, Max Bourne, Zdenek Hemcak",Czech,Unknown,"August 12, 1983",Unknown,92 kg,185 cm
Steve Rickz,Steve Rinkz,American,Caucasian,"April 28, 1991",2016,85 kg,175 cm
Alex Jones,Ace,"Serbian, German",Caucasian,"March 2, 1991",2011,92 kg,193 cm
Pierre Woodman,"Pierre Boismonsieur, Jean-Paul Bouchet",French,Caucasian,"April 29, 1963",Unknown,84 kg,185 cm
Dylan Ledger,Unknown,Unknown,Caucasian,Unknown,2023,Unknown,190 cm
Kristof Cale,Unknown,Czech,Caucasian,Unknown,2004,66 kg,195 cm
Jonny Palms,Johnny Palms,American,Caucasian,Unknown,Unknown,Unknown,177 cm
Chad White,"Trent, Chad, Blair, Mattox",American,Caucasian,"August 5, 1988",2007,77 kg,182 cm
Chris Epic,"King Epicleus, Chris Epicleus, Epic, Chris",American,Caucasian,"February 2, 1988",2018,90 kg,187 cm
Zack Whiter,Unknown,Unknown,Latin,Unknown,Unknown,Unknown,Unknown
Conor Coxxx,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jay Bangher,Jay Banger,American,Unknown,"August 7, 1988",Unknown,78 kg,182 cm
Willy Regal,"Ervin Kozma, Wiley Regal",Russian,Caucasian,Unknown,2019,64 kg,180 cm
Jay Wu,David Slinger,American,Asian,Unknown,Unknown,79 kg,187 cm
Francesco Malcolm,"Eduardo Ritz, Francesco Trulli, Francesco Malom, Francesco Malcon, Francesco Malkom, Franco Rialto",Italian,Caucasian,"November 27, 1971",Unknown,68 kg,170 cm
Dave Hard,"David, Dave H, Marek Dvorak, Dave Heart, Dave Heard, Christian, Davide Ranieri",Czech,Caucasian,1976,Unknown,78 kg,180 cm
Ridge Crix,Unknown,Czech,Caucasian,"July 22, 1979",2008,Unknown,Unknown
Stano Izak,"Clive Walker, Perry Layne, Karel, Alan Wake",Bulgarian,Caucasian,"November 19, 1987",Unknown,69 kg,172 cm
Lutro Steele,"Lutro Vargas, Joseph Valek, Jiri Benes, Jeryl, Lukas, Lucky Lutro, Karel, Rick",Czech,Caucasian,"December 17, 1983",2006,Unknown,Unknown
John Price,"Joan Price, Gianpiero",Italian,Caucasian,"March 8, 1991",Unknown,Unknown,Unknown
Rodolphe Antrim,"Adrien, Ruud Bilux, Alain, Rudy Manero, Rodolphe Billard, Christian Carambeau, Rudolf Blanc, Rudolph Baden, Rodolf Dessen",French,Caucasian,1971,Unknown,Unknown,Unknown
Maximo Garcia,"Jorge Navarro, Joël Tomas, Joel Tomas, Joel Thomas, Ricardo, Jorge Santana, Jorge Garcia",Spanish,Caucasian,"December 21, 1992",2013,87 kg,185 cm
Dre Strong,Unknown,American,Black,"June 6, 1985",Unknown,103 kg,203 cm
Kris Slater,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ben English,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
London Ford,Unknown,Unknown,Asian,"January 8, 1991",2024,85 kg,Unknown
Markus Dupree,Unknown,Russian,Caucasian,"May 31, 1988",2008,79 kg,177 cm
Eric Dikkersun,"Eric Dikkerson, Eriq Dikkersun",American,Caucasian,"February 1, 1978",Unknown,94 kg,187 cm
Oliver Flynn,Unknown,American,Caucasian,"July 12, 1993",2020,74 kg,182 cm
Michael Vegas,"Mike Vegas, James Oak",American,Caucasian,"June 4, 1984",2006,78 kg,177 cm
Puerto Rock,Unknown,American,Latin,"March 2, 1980",Unknown,Unknown,Unknown
Ralph Whoren,"pornbox.com), Ralph Whoring, Ralph (gonzo.com",American,Black,"September 2, 1987",2018,58 kg,175 cm
Air Thugger,Zachary Larson,American,Mixed,"October 13, 1993",2021,79 kg,177 cm
Xander Corvus,Unknown,Unknown,Caucasian,"November 18, 1988",2010,66 kg,180 cm
Seth Dickens,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Levi Cash,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bamako Soldat,Bamako,French,Black,Unknown,Unknown,Unknown,Unknown
Devlin Weed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Axel Aces,"Richie Evans, Master Richie, Master Richi, Mr Smith",Unknown,Caucasian,November 22,Unknown,68 kg,172 cm
Kevin White,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Jin Matsui,Unknown,Brazilian,Asian,Unknown,Unknown,Unknown,Unknown
Preston Parker,"Dillon Parker, Chris Parker, Dillon (CorbinFisher), Preston (ChaosMen), Dillon (RandyBlue)",Unknown,Caucasian,"January 27, 1980",Unknown,Unknown,Unknown
Titof,"Titoff, Christophe",French,Caucasian,"October 5, 1973",Unknown,Unknown,170 cm
Filou Fitt,"Philippe Soulier, Fitt Filou",French,Caucasian,"May 10, 1993",2023,108 kg,Unknown
Don Diggler,DickDealear Don,American,Black,Unknown,Unknown,Unknown,Unknown
Brad Sterling,Unknown,American,Caucasian,Unknown,2016,76 kg,185 cm
